source_owner,source_name,repository_file,json_path,value_type,container_size,value_preview,depth
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.pres,object,3,,2
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.pres.stn_lvl_hpa,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.pres.msl_hpa,float,,1022.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.pres.qnh_hpa,float,,1021.6,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.wind,object,7,,2
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.wind.speed_10m_mps,float,,5.299,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.wind.dirn_10m_ord,str,,N,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.wind.gust_speed_10m_mps,float,,8.746,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.wind.gust_dirn_10m_deg_t,float,,359.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.wind.gust_speed_10m_max_mps,float,,9.26,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.wind.gust_10m_max_utc,str,,2026-07-10T01:12:00Z,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.wind.run_2m_total_m,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.precip,object,6,,2
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.precip.since_0900lct_total_mm,float,,0.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.precip.since_0000lct_total_mm,float,,0.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.precip.24h_0900lct_total_mm,float,,0.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.precip.10min_total_mm,float,,0.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.precip.1h_total_mm,float,,0.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.precip.24h_total_mm,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.visibility,object,1,,2
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.visibility.horiz_m,float,,46292.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud,object,12,,2
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.base_ht_s1_m,float,,0.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.base_ht_s2_m,float,,0.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.base_ht_s3_m,float,,0.0,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.base_ht_s4_m,float,,603.504,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.base_ht_s5_m,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.total_cover_amt_text,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.low_layer_cover_amt_okta,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.low_layer_height_m,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.med_layer_cover_amt_okta,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.med_layer_height_m,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.high_layer_cover_amt_okta,NoneType,,,3
BOM,90173,data\weather-source-audit\bom-live\90173\latest_raw.json,$.obs.cloud.high_layer_height_m,NoneType,,,3
